,Fed Debt_Total Public Debt as Perc of GDP,"All Employees, Retail Trade",IndustrialProductionGoldSilver21222S,Industrial Production_Manufacturing (NAICS),Unemployment_Rate,Households and Nonprofit Organizations_Total Assets,Total Vehicle Sales,New Private Housing Units Authorized by Building Permits,Corp_Total Assets,FEDFUNDS,Federal Debt Held by Federal Reserve Banks
209,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533,0.13240533
210,,,0.13853326,0.13853326,0.13853326,0.13853326,0.13853326,0.13853326,,0.13853326,0.13853326
211,0.15921545,0.15921545,0.15921545,0.15921545,0.15921545,0.15921545,,0.15921545,,,
212,0.16515435,0.16515435,,,0.16515435,,0.16515435,,,0.16515435,0.16515435
213,,0.13056439,0.13056439,0.13056439,0.13056439,0.13056439,0.13056439,0.13056439,0.13056439,0.13056439,0.13056439
214,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174,0.13960174
215,0.16448322,0.16448322,,0.16448322,,,0.16448322,0.16448322,,0.16448322,0.16448322
216,0.13306913,0.13306913,0.13306913,0.13306913,0.13306913,0.13306913,,0.13306913,,0.13306913,
217,0.30633128,,,,,,0.30633128,0.30633128,,0.30633128,
218,0.18294257,0.18294257,,,,0.18294257,0.18294257,,,,0.18294257
219,0.14669771,0.14669771,0.14669771,,0.14669771,0.14669771,,0.14669771,0.14669771,0.14669771,
220,0.13196458,,0.13196458,,0.13196458,,0.13196458,0.13196458,0.13196458,0.13196458,0.13196458
221,,,,0.2024984,,,,0.2024984,,0.2024984,0.2024984
222,0.12162626,0.12162626,0.12162626,0.12162626,0.12162626,0.12162626,0.12162626,0.12162626,,0.12162626,0.12162626
223,,,,0.21805403,0.21805403,,0.21805403,0.21805403,0.21805403,,
224,,,0.20366205,0.20366205,,,,0.20366205,0.20366205,,0.20366205
225,,,0.35853767,,,,0.35853767,,,,
226,0.14836814,0.14836814,0.14836814,,,0.14836814,,0.14836814,,0.14836814,0.14836814
227,0.14121267,0.14121267,0.14121267,0.14121267,0.14121267,,0.14121267,0.14121267,,,0.14121267
228,0.12001289,0.12001289,0.12001289,0.12001289,0.12001289,,0.12001289,0.12001289,,0.12001289,0.12001289
229,,,0.30247727,,,,,,0.30247727,,
230,0.14253765,,,,0.14253765,0.14253765,0.14253765,0.14253765,,0.14253765,
231,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692,0.11814692
232,0.16910076,0.16910076,0.16910076,,,0.16910076,0.16910076,,0.16910076,0.16910076,0.16910076
233,,,0.31355444,,,,,,,,0.31355444
234,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606,0.14019606
235,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868,0.1293868
236,,,0.13221514,,0.13221514,0.13221514,,0.13221514,0.13221514,0.13221514,0.13221514
237,0.24862699,,,,,,,,,0.24862699,
238,0.12598096,0.12598096,0.12598096,0.12598096,0.12598096,0.12598096,,0.12598096,,0.12598096,0.12598096
239,0.2680528,,,,,,,,,,0.2680528
240,0.1447003,0.1447003,,0.1447003,0.1447003,,0.1447003,0.1447003,0.1447003,0.1447003,
241,,,,0.35771397,,,,,,,0.35771397
242,,0.19554725,,0.19554725,,0.19554725,0.19554725,0.19554725,0.19554725,0.19554725,
243,0.166577,0.166577,0.166577,,0.166577,0.166577,0.166577,0.166577,,,
244,0.12026262,0.12026262,0.12026262,0.12026262,0.12026262,,0.12026262,,0.12026262,0.12026262,0.12026262
245,,,,,,0.37257528,,,,,0.37257528
246,0.17822485,0.17822485,0.17822485,,,0.17822485,0.17822485,,0.17822485,,0.17822485
247,0.14911693,0.14911693,0.14911693,,0.14911693,0.14911693,0.14911693,0.14911693,0.14911693,0.14911693,0.14911693
248,0.1860934,,0.1860934,0.1860934,,0.1860934,,,0.1860934,0.1860934,0.1860934
249,0.1610523,0.1610523,,0.1610523,,0.1610523,0.1610523,0.1610523,,0.1610523,0.1610523
250,0.13033597,0.13033597,,0.13033597,0.13033597,0.13033597,0.13033597,0.13033597,0.13033597,0.13033597,0.13033597
251,,0.27328455,,,,,,0.27328455,,,
252,,,,0.71292984,0.71292984,0.71292984,0.71292984,0.71292984,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,,,,,,,,,,,
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
301,,,,,,,,,,,
302,,,,,,,,,,,
303,,,,,,,,,,,
304,,,,,,,,,,,
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,,,,,,,,,,,
309,,,,,,,,,,,
310,,,,,,,,,,,
311,,,,,,,,,,,
312,,,,,,,,,,,
313,,,,,,,,,,,
314,,,,,,,,,,,
315,,,,,,,,,,,
316,,,,,,,,,,,
317,,,,,,,,,,,
318,,,,,,,,,,,
319,,,,,,,,,,,
320,,,,,,,,,,,
321,,,,,,,,,,,
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
325,,,,,,,,,,,
326,,,,,,,,,,,
327,,,,,,,,,,,
328,,,,,,,,,,,
329,,,,,,,,,,,
330,,,,,,,,,,,
331,,,,,,,,,,,
332,,,,,,,,,,,
333,,,,,,,,,,,
334,,,,,,,,,,,
335,,,,,,,,,,,
336,,,,,,,,,,,
337,,,,,,,,,,,
338,,,,,,,,,,,
339,,,,,,,,,,,
340,,,,,,,,,,,
341,,,,,,,,,,,
342,,,,,,,,,,,
343,,,,,,,,,,,
344,,,,,,,,,,,
345,,,,,,,,,,,
346,,,,,,,,,,,
347,,,,,,,,,,,
348,,,,,,,,,,,
349,,,,,,,,,,,
350,,,,,,,,,,,
351,,,,,,,,,,,
352,,,,,,,,,,,
353,,,,,,,,,,,
354,,,,,,,,,,,
355,,,,,,,,,,,
356,,,,,,,,,,,
357,,,,,,,,,,,
358,,,,,,,,,,,
359,,,,,,,,,,,
360,,,,,,,,,,,
361,,,,,,,,,,,
362,,,,,,,,,,,
363,,,,,,,,,,,
364,,,,,,,,,,,
365,,,,,,,,,,,
366,,,,,,,,,,,
367,,,,,,,,,,,
368,,,,,,,,,,,
369,,,,,,,,,,,
370,,,,,,,,,,,
371,,,,,,,,,,,
372,,,,,,,,,,,
373,,,,,,,,,,,
374,,,,,,,,,,,
375,,,,,,,,,,,
376,,,,,,,,,,,
377,,,,,,,,,,,
378,,,,,,,,,,,
379,,,,,,,,,,,
380,,,,,,,,,,,
381,,,,,,,,,,,
382,,,,,,,,,,,
383,,,,,,,,,,,
384,,,,,,,,,,,
385,,,,,,,,,,,
386,,,,,,,,,,,
387,,,,,,,,,,,
388,,,,,,,,,,,
389,,,,,,,,,,,
390,,,,,,,,,,,
391,,,,,,,,,,,
392,,,,,,,,,,,
393,,,,,,,,,,,
394,,,,,,,,,,,
395,,,,,,,,,,,
396,,,,,,,,,,,
397,,,,,,,,,,,
398,,,,,,,,,,,
399,,,,,,,,,,,
400,,,,,,,,,,,
401,,,,,,,,,,,
402,,,,,,,,,,,
403,,,,,,,,,,,
404,,,,,,,,,,,
405,,,,,,,,,,,
406,,,,,,,,,,,
407,,,,,,,,,,,
408,,,,,,,,,,,
409,,,,,,,,,,,
410,,,,,,,,,,,
411,,,,,,,,,,,
412,,,,,,,,,,,
413,,,,,,,,,,,
414,,,,,,,,,,,
415,,,,,,,,,,,
416,,,,,,,,,,,
417,,,,,,,,,,,
418,,,,,,,,,,,
419,,,,,,,,,,,
